,corp_brand_id,corporate_brand,material_type,level,date,snapshot_date,Brand_ΔFIP_%,Brand_Abs_Impact,Brand_MT_Abs_Impact,Net_vs_Abs_Ratio,Signal_SKU_%,Impact_from_Signal_%,Top_1_SKU_%,Top_5_SKU_%,Top_10_SKU_%,Plant_Concentration_%,Qty_Impact_%,Cost_Impact_%,Weighted_Dominance,Driver_Conflict_%,Avg_Persistence,Structural_Shift_Index,MaterialType_Impact_%,Actionability_Index,Ownership_Clarity_Index,Explainability_Score
544,00201790,All Other Pharmaceut,,BRAND,202612,2025-07-18,,0.0,,,100.0,,,,,,,,,0.0,0.0,0.0,,,,
545,00201790,All Other Pharmaceut,,BRAND,202612,2025-07-25,-0.1,2308031.81,,5.0,44.03,100.0,10.88,42.79,62.99,48.36,100.0,-0.0,1.0,19.39,0.1,0.0,,42.79,100.0,35.07
546,00201790,All Other Pharmaceut,,BRAND,202612,2025-08-01,-0.18,1559786.84,,14.14,44.01,100.0,26.93,52.96,67.43,50.24,100.0,-0.0,1.0,19.41,0.14,0.0,,52.96,100.0,39.26
547,00201790,All Other Pharmaceut,,BRAND,202612,2025-08-08,15.99,26733370.42,,71.23,44.7,100.0,29.8,72.52,87.25,56.1,100.0,0.0,1.0,28.37,0.22,0.0,,72.52,100.0,47.62
548,00201790,All Other Pharmaceut,,BRAND,202612,2025-08-15,-4.31,9201404.04,,65.78,45.0,100.0,30.93,74.01,84.71,49.68,100.0,-0.0,1.0,27.78,0.22,0.0,,74.01,100.0,48.34
549,00201790,All Other Pharmaceut,,BRAND,202612,2025-08-22,-1.2,3256743.43,,49.45,45.04,100.0,21.73,50.68,63.19,73.47,100.0,-0.0,1.0,29.97,0.26,0.0,,50.68,100.0,39.16
550,00201790,All Other Pharmaceut,,BRAND,202612,2025-08-26,,0.0,,,45.31,,,,,,,,,0.0,0.0,0.0,,,,
551,00201790,All Other Pharmaceut,,BRAND,202612,2025-08-29,2.59,6200958.35,,55.55,43.58,91.7,27.71,66.49,78.55,51.54,100.0,0.0,1.0,26.56,0.15,0.0,,60.97,100.0,44.54
552,00201790,All Other Pharmaceut,,BRAND,202612,2025-09-05,-2.6,5426642.11,,65.44,43.14,55.46,37.83,77.35,84.83,68.0,100.0,-0.0,1.0,21.35,0.18,1.24,,42.9,100.0,48.8
553,00201790,All Other Pharmaceut,,BRAND,202612,2025-09-12,-1.17,6685807.11,,23.33,42.23,76.67,11.47,45.67,67.6,67.99,100.0,-0.0,1.0,24.0,0.25,1.49,,35.01,100.0,36.0
554,00201790,All Other Pharmaceut,,BRAND,202612,2025-09-18,9.0,29751678.31,,36.18,40.74,86.42,57.38,74.25,81.84,79.26,100.0,0.0,1.0,36.31,0.46,1.53,,64.17,100.0,47.54
555,00201790,All Other Pharmaceut,,BRAND,202612,2025-09-19,-0.35,4245305.91,,10.92,39.83,65.32,26.21,42.99,54.77,66.83,100.0,-0.0,1.0,26.56,0.43,1.56,,28.08,100.0,34.55
556,00201790,All Other Pharmaceut,,BRAND,202612,2025-09-26,-0.17,6301729.05,,3.5,64.88,76.53,14.15,48.73,62.72,50.01,100.0,-0.0,1.0,27.2,0.5,1.1,,37.29,100.0,47.1
557,00201790,All Other Pharmaceut,,BRAND,202612,2025-10-03,-0.23,5137385.34,,5.8,53.63,67.92,17.36,52.42,63.98,58.85,100.0,-0.0,1.0,19.37,0.3,0.76,,35.6,100.0,43.42
558,00201790,All Other Pharmaceut,,BRAND,202612,2025-10-10,0.0,0.0,,,43.55,,,,,,,,,0.0,0.0,0.0,,,,
559,00201790,All Other Pharmaceut,,BRAND,202612,2025-10-17,-0.42,9618159.0,,5.63,41.63,85.98,7.99,32.61,45.66,40.96,100.0,-0.0,1.0,41.83,0.27,0.0,,28.04,100.0,30.6
560,00201790,All Other Pharmaceut,,BRAND,202612,2025-10-24,-0.37,5876427.8,,8.37,41.08,80.09,12.78,40.86,52.94,49.42,100.0,-0.0,1.0,28.97,0.37,2.9,,32.72,100.0,33.99
561,00201790,All Other Pharmaceut,,BRAND,202612,2025-10-31,1.55,6624286.68,,30.97,42.46,91.78,19.4,69.46,78.97,37.48,100.0,0.0,1.0,24.52,0.29,1.23,,63.75,100.0,45.74
562,00201790,All Other Pharmaceut,,BRAND,202612,2025-11-07,2.04,7020527.16,,39.08,42.42,69.61,22.61,58.0,68.79,28.64,100.0,0.0,1.0,30.48,0.32,1.14,,40.37,100.0,41.24
563,00201790,All Other Pharmaceut,,BRAND,202612,2025-11-14,-1.27,5458515.77,,31.99,41.27,74.22,28.61,54.77,66.9,31.74,100.0,-0.0,1.0,26.56,0.29,1.76,,40.65,100.0,39.39
564,00201790,All Other Pharmaceut,,BRAND,202612,2025-11-19,72.98,104214026.87,,92.62,40.68,8.9,89.37,93.99,95.32,89.97,100.0,0.0,1.0,38.1,0.48,3.21,,8.36,100.0,55.48
565,00201790,All Other Pharmaceut,,BRAND,202612,2025-11-21,68.26,98152077.85,,94.86,39.5,3.88,94.81,98.2,98.71,96.63,100.0,0.0,1.0,21.45,0.36,1.96,,3.81,100.0,56.29
566,00201790,All Other Pharmaceut,,BRAND,202612,2025-11-28,-47.56,111143056.13,,98.22,42.93,99.56,83.74,98.15,98.76,84.04,100.0,-0.0,1.0,28.22,0.36,1.34,,97.72,100.0,57.62
567,00201790,All Other Pharmaceut,,BRAND,202612,2025-12-05,-1.17,6316420.3,,22.33,45.77,59.96,32.7,60.73,71.19,53.12,100.0,-0.0,1.0,25.9,0.35,1.8,,36.41,100.0,43.75
568,00201790,All Other Pharmaceut,,BRAND,202612,2025-12-12,0.78,3263827.24,,29.09,46.38,80.98,20.7,41.17,51.77,43.87,100.0,0.0,1.0,31.89,0.37,1.47,,33.34,100.0,36.26
569,00201790,All Other Pharmaceut,,BRAND,202612,2025-12-17,-47.45,118896294.55,,91.94,45.6,83.19,78.29,94.12,95.26,78.67,100.0,-0.0,1.0,33.23,0.5,2.09,,78.29,100.0,57.56
570,00201790,All Other Pharmaceut,,BRAND,202612,2025-12-19,202.22,887544729.21,,99.18,43.14,99.76,99.05,99.46,99.61,99.24,100.0,0.0,1.0,26.05,0.42,1.47,,99.22,100.0,58.43
571,00201790,All Other Pharmaceut,,BRAND,202612,2025-12-26,1.22,21524961.6,,74.8,46.04,78.36,49.43,85.03,92.7,68.08,100.0,0.0,1.0,25.79,0.31,0.69,,66.63,100.0,53.45
572,00201790,All Other Pharmaceut,,BRAND,202612,2026-01-02,0.45,10561953.96,,56.71,54.31,81.23,9.87,33.48,51.37,44.66,24.1,77.17,-0.44,48.73,0.27,0.85,,27.19,53.08,36.0
573,00201790,All Other Pharmaceut,,BRAND,202612,2026-01-09,-8.07,13721299.42,,86.69,49.38,99.14,85.51,90.31,93.01,91.64,100.0,-0.0,1.0,20.44,0.23,0.09,,89.53,100.0,56.66
574,00201790,All Other Pharmaceut,,BRAND,202612,2026-01-16,-14.71,34811342.86,,55.18,46.7,59.96,16.99,56.24,67.4,29.69,100.0,-0.0,1.0,41.44,0.4,0.74,,33.72,100.0,42.5
575,00201790,All Other Pharmaceut,,BRAND,202612,2026-01-23,-76.23,345520977.11,,94.66,40.23,2.28,90.32,93.87,95.25,91.07,-141.71,94.21,0.26,42.82,0.66,4.02,,2.14,235.92,55.83
576,00201790,All Other Pharmaceut,,BRAND,202612,2026-01-30,-3.39,9604459.43,,38.69,44.96,13.87,50.59,74.84,81.94,53.0,100.0,-0.0,1.0,20.88,0.4,2.96,,10.38,100.0,49.26
577,00201790,All Other Pharmaceut,,BRAND,202612,2026-02-06,1.92,14618161.84,,14.03,50.68,45.87,23.22,57.61,68.29,42.75,136.24,-36.24,0.9,27.08,0.33,0.0,,26.43,172.48,44.43
578,00201790,All Other Pharmaceut,,BRAND,202712,2025-07-18,,0.0,,,100.0,,,,,,,,,0.0,0.0,0.0,,,,
579,00201790,All Other Pharmaceut,,BRAND,202712,2025-07-25,-0.14,2164997.13,,7.84,44.03,100.0,11.6,47.16,68.73,46.94,100.0,-0.0,1.0,19.39,0.1,0.0,,47.16,100.0,36.82
580,00201790,All Other Pharmaceut,,BRAND,202712,2025-08-01,-0.18,1553848.13,,14.24,44.01,100.0,27.04,53.63,70.41,52.65,100.0,-0.0,1.0,19.18,0.14,0.0,,53.63,100.0,39.53
581,00201790,All Other Pharmaceut,,BRAND,202712,2025-08-08,28.08,42557880.66,,81.4,44.7,100.0,40.23,78.21,89.4,46.25,100.0,0.0,1.0,29.03,0.22,0.0,,78.21,100.0,49.9
582,00201790,All Other Pharmaceut,,BRAND,202712,2025-08-15,-13.69,24568676.57,,89.42,45.0,100.0,69.68,88.03,92.89,80.11,100.0,-0.0,1.0,27.89,0.22,0.0,,88.03,100.0,53.95
583,00201790,All Other Pharmaceut,,BRAND,202712,2025-08-22,-1.04,3372597.03,,42.87,45.04,100.0,20.99,50.32,62.86,68.45,100.0,-0.0,1.0,30.4,0.27,0.0,,50.32,100.0,39.03
584,00201790,All Other Pharmaceut,,BRAND,202712,2025-08-26,,0.0,,,45.31,,,,,,,,,0.0,0.0,0.0,,,,
585,00201790,All Other Pharmaceut,,BRAND,202712,2025-08-29,2.6,6104244.69,,58.31,43.77,90.5,28.15,67.54,79.41,51.57,100.0,0.0,1.0,26.44,0.15,0.0,,61.13,100.0,45.03
586,00201790,All Other Pharmaceut,,BRAND,202712,2025-09-05,-2.6,5456102.94,,67.14,43.09,57.85,37.63,77.24,85.74,67.64,100.0,-0.0,1.0,21.48,0.18,1.46,,44.68,100.0,48.74
587,00201790,All Other Pharmaceut,,BRAND,202712,2025-09-12,-1.26,6790591.19,,25.47,42.81,75.61,11.29,47.17,69.06,68.57,100.0,-0.0,1.0,24.24,0.24,1.24,,35.67,100.0,36.8
588,00201790,All Other Pharmaceut,,BRAND,202712,2025-09-18,8.73,29827435.8,,36.24,41.36,81.62,57.24,74.07,82.84,79.83,100.0,0.0,1.0,35.53,0.44,1.16,,60.46,100.0,47.64
589,00201790,All Other Pharmaceut,,BRAND,202712,2025-09-19,-0.21,4191144.27,,6.64,40.4,65.96,26.55,43.23,52.97,68.29,100.0,-0.0,1.0,26.42,0.41,1.54,,28.51,100.0,34.81
590,00201790,All Other Pharmaceut,,BRAND,202712,2025-09-26,-0.05,6339566.97,,0.95,65.42,65.34,14.07,48.44,62.34,49.55,100.0,-0.0,1.0,27.38,0.49,0.95,,31.65,100.0,47.16
591,00201790,All Other Pharmaceut,,BRAND,202712,2025-10-03,-0.18,5079477.97,,4.59,53.74,50.44,17.56,53.01,64.71,58.15,100.0,-0.0,1.0,19.14,0.3,0.76,,26.74,100.0,43.69
592,00201790,All Other Pharmaceut,,BRAND,202712,2025-10-10,0.0,0.0,,,43.4,,,,,,,,,0.0,0.0,0.0,,,,
593,00201790,All Other Pharmaceut,,BRAND,202712,2025-10-17,-0.69,9604799.02,,9.54,41.63,78.86,8.0,32.65,45.73,40.97,100.0,-0.0,1.0,41.71,0.27,0.0,,25.75,100.0,30.61
594,00201790,All Other Pharmaceut,,BRAND,202712,2025-10-24,-1.97,7476592.83,,36.01,41.03,62.09,12.63,45.42,57.93,40.24,100.0,-0.0,1.0,29.81,0.37,2.67,,28.2,100.0,35.81
595,00201790,All Other Pharmaceut,,BRAND,202712,2025-10-31,1.31,6317502.04,,27.83,42.42,73.97,20.35,71.93,80.05,39.3,100.0,0.0,1.0,24.78,0.29,1.35,,53.21,100.0,46.71
596,00201790,All Other Pharmaceut,,BRAND,202712,2025-11-07,3.52,7333950.79,,65.3,42.37,60.37,21.64,57.66,68.51,26.06,100.0,0.0,1.0,30.4,0.32,1.26,,34.81,100.0,41.07
597,00201790,All Other Pharmaceut,,BRAND,202712,2025-11-14,-1.59,5559401.76,,40.59,41.66,74.09,28.1,54.49,65.91,35.2,100.0,-0.0,1.0,26.31,0.28,2.1,,40.37,100.0,39.41
598,00201790,All Other Pharmaceut,,BRAND,202712,2025-11-19,70.55,105106671.37,,91.35,40.53,9.65,88.56,93.41,95.34,89.38,100.0,0.0,1.0,37.87,0.48,3.11,,9.01,100.0,55.16
599,00201790,All Other Pharmaceut,,BRAND,202712,2025-11-21,66.65,98202491.77,,94.81,39.35,3.84,94.74,98.09,98.51,96.61,100.0,0.0,1.0,22.02,0.37,1.6,,3.76,100.0,56.22
600,00201790,All Other Pharmaceut,,BRAND,202712,2025-11-28,-47.03,111467701.74,,98.22,43.03,99.56,83.47,97.92,98.48,83.69,100.0,-0.0,1.0,30.73,0.35,1.01,,97.49,100.0,57.55
601,00201790,All Other Pharmaceut,,BRAND,202712,2025-12-05,-1.6,6147105.35,,32.06,45.68,55.88,33.6,62.4,71.85,52.87,100.0,-0.0,1.0,26.55,0.34,1.7,,34.87,100.0,44.36
602,00201790,All Other Pharmaceut,,BRAND,202712,2025-12-12,0.63,3188835.26,,24.2,46.61,73.24,21.18,39.88,50.03,38.3,100.0,0.0,1.0,31.35,0.37,1.17,,29.2,100.0,35.82
603,00201790,All Other Pharmaceut,,BRAND,202712,2025-12-17,-48.22,118489990.62,,95.1,45.87,84.16,78.51,94.35,95.53,78.86,100.0,-0.0,1.0,34.52,0.5,1.68,,79.41,100.0,57.76
604,00201790,All Other Pharmaceut,,BRAND,202712,2025-12-19,281.6,360198525.5,,97.45,43.41,99.47,97.76,98.77,99.06,98.18,100.0,0.0,1.0,28.18,0.43,1.36,,98.24,100.0,58.31
605,00201790,All Other Pharmaceut,,BRAND,202712,2025-12-26,43.29,211315721.1,,97.29,45.91,98.16,90.21,98.51,99.29,90.25,100.0,0.0,1.0,23.59,0.29,0.59,,96.7,100.0,58.74
